Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33.917892,35.945827,33.917892,35.945827,26.684866,31204789.0
2000-01-04,36.902668,38.82349,35.888702,38.82349,28.821142,66436055.0
2000-01-05,36.652744,41.115627,36.652744,40.34444,29.950235,187894923.0
2000-01-06,41.27272,42.943623,41.27272,42.036766,31.206556,109810562.0
2000-01-07,42.129593,45.399994,41.843967,44.92157,33.348133,139140630.0
2000-01-10,45.328587,45.51424,43.600559,44.057556,32.706718,93948967.0
2000-01-11,43.979012,44.407448,40.537235,41.201313,30.586346,87837898.0
2000-01-12,41.27272,43.557716,40.294456,43.086433,31.985792,84793235.0
2000-01-13,43.700527,45.185776,43.429184,44.535976,33.061886,119569925.0
2000-01-14,44.200371,45.935539,44.200371,45.171494,33.533669,94253808.0
2000-01-17,45.449978,46.114052,43.850479,44.093262,32.733223,75127904.0
2000-01-18,44.128963,45.549946,43.636261,44.871586,33.31102,70605468.0
2000-01-19,46.106911,46.399677,45.157211,45.642773,33.88353,80395046.0
2000-01-20,45.699898,46.399677,44.350323,44.678791,33.167896,108034978.0
2000-01-21,44.657368,46.899521,44.5574,46.606754,34.599152,119997270.0
2000-01-24,46.485367,47.392223,45.985523,46.578194,34.577946,92172116.0
2000-01-25,46.421101,46.456802,45.449978,45.692757,33.920624,68292136.0
2000-01-26,45.692757,45.692757,45.692757,45.692757,33.920624,0.0
2000-01-27,46.985207,48.09914,46.085491,47.834942,35.51091,105134980.0
2000-01-28,47.970612,48.827484,47.356518,48.320499,35.871368,82165623.0
2000-01-31,47.763535,47.984894,46.635319,46.863815,34.789982,71361776.0
2000-02-01,47.242268,48.191971,46.842396,47.706409,35.415497,74978225.0
2000-02-02,48.970299,49.541546,48.349064,48.577564,36.062206,69677865.0
2000-02-03,48.841766,49.055984,48.042019,48.791782,36.221237,47415611.0
2000-02-04,49.127392,49.605812,48.798923,49.148811,36.486271,49764032.0
2000-02-07,48.713234,49.905716,48.277657,49.070267,36.427971,57373544.0
2000-02-08,49.341606,49.541546,48.706093,48.898891,36.300747,45028798.0
2000-02-09,49.84145,50.648338,49.241638,50.041389,37.148895,80082951.0
2000-02-10,49.812889,51.95507,49.25592,50.805431,37.716084,75571837.0
2000-02-11,51.983635,53.411755,51.419525,51.883663,38.516537,57107362.0
2000-02-14,51.269573,51.540916,49.984264,50.284168,37.329128,35903092.0
2000-02-15,50.269886,50.612637,48.848907,49.177376,36.507488,56888263.0
2000-02-16,49.984264,50.526951,48.998859,49.720062,36.910355,55152101.0
2000-02-17,49.655796,50.955387,49.627232,50.63406,37.588871,53712644.0
2000-02-18,50.969666,51.119621,49.698639,49.905716,37.048172,35225755.0
2000-02-21,49.755764,50.269886,48.791782,49.363029,36.645309,20617316.0
2000-02-22,49.413013,49.555828,47.48505,47.749252,35.447296,50361544.0
2000-02-23,49.22736,49.22736,46.742428,47.099457,34.964912,33832723.0
2000-02-24,47.542175,48.656109,47.028049,48.092003,35.701744,39659592.0
2000-02-25,48.756077,48.970299,46.571053,46.928082,34.837685,27393300.0
2000-02-28,46.392536,48.163406,44.271774,47.570736,35.314766,35193104.0
2000-02-29,48.256237,48.963158,43.764793,44.393166,32.955856,69812720.0
2000-03-01,44.985836,47.106598,42.700844,45.242901,33.586674,75384941.0
2000-03-02,45.535664,45.985523,41.629749,41.665455,30.930902,87781342.0
2000-03-03,40.858566,40.858566,38.337929,38.337929,28.46068,32467650.0
2000-03-06,38.337929,40.537235,35.274609,36.267155,26.923409,73037978.0
2000-03-07,36.702728,36.988354,34.274921,34.60339,25.68829,66944219.0
2000-03-08,35.260326,35.774452,32.846802,33.268097,24.697018,50810623.0
2000-03-09,33.689392,34.617672,32.011349,33.032455,24.522085,38832765.0
2000-03-10,33.418049,33.532299,30.647493,30.968821,22.990118,46194721.0
2000-03-13,31.404398,32.775394,28.60528,29.019436,21.542969,75381531.0
